iter	Logloss
0	0.6899529731
1	0.6880810282
2	0.6870059555
3	0.6863006679
4	0.6858740242
5	0.6855736065
6	0.6853184924
7	0.6851510794
8	0.6850514872
9	0.6849869743
10	0.6848741299
11	0.6847655971
12	0.6847065725
13	0.6846324614
14	0.6844682754
15	0.6843933393
16	0.684337562
17	0.6842692646
18	0.6842399423
19	0.6841816085
20	0.6841517858
21	0.684064782
22	0.6840099483
23	0.6839746927
24	0.6839293841
25	0.6839031788
26	0.683860449
27	0.6838168876
28	0.6837917169
29	0.6837531247
30	0.6837159973
31	0.6836863191
32	0.6836171714
33	0.6835904797
34	0.6835575708
35	0.6835281126
36	0.6834996483
37	0.6834772516
38	0.6834557614
39	0.6834315029
40	0.6834039117
41	0.683382005
42	0.6833530892
43	0.6833249923
44	0.6832978635
45	0.6832686105
46	0.6832470497
47	0.6832239333
48	0.6832005761
49	0.6831769033
50	0.6831510372
51	0.6831230977
52	0.6831034445
53	0.6830880575
54	0.6830732128
55	0.6830417006
56	0.6830145349
57	0.6829853249
58	0.6829630783
59	0.6829395053
60	0.6829152691
61	0.6828930809
62	0.6828407115
63	0.6828191974
64	0.6827935288
65	0.6827709563
66	0.6827513888
67	0.6827270702
68	0.6827011535
69	0.6826806393
70	0.6826582003
71	0.6826272659
72	0.6826018909
73	0.6825788591
74	0.6825594887
75	0.6825386678
76	0.6825183071
77	0.6825033739
78	0.6824782125
79	0.6824524638
80	0.6824329483
81	0.6824178725
82	0.6823970492
83	0.6823861536
84	0.682367973
85	0.6823497843
86	0.6823225284
87	0.6823070125
88	0.68229233
89	0.6822713879
90	0.68225192
91	0.6822387567
92	0.6822228552
93	0.6822085599
94	0.6821922213
95	0.6821691953
96	0.6821453926
97	0.6821276319
98	0.6821038839
99	0.682087955
100	0.6820683615
101	0.6820543549
102	0.682035715
103	0.6820178763
104	0.682004951
105	0.6819707421
106	0.6819537093
107	0.6819384043
108	0.6819158195
109	0.681901447
110	0.6818835567
111	0.6818697175
112	0.6818440906
113	0.6818266643
114	0.6818129755
115	0.6817939648
116	0.681777929
117	0.6817617453
118	0.681745389
119	0.6817311317
120	0.6817148901
121	0.6816967821
122	0.6816831199
123	0.6816700646
124	0.6816558347
125	0.6816404473
126	0.6816205025
127	0.6816035055
128	0.6815834333
129	0.6815662485
130	0.6815528265
131	0.6815373151
132	0.6815244268
133	0.6815096983
134	0.6814964284
135	0.6814810583
136	0.6814661542
137	0.6814472995
138	0.6814316439
139	0.6814196544
140	0.6814027923
141	0.6813905993
142	0.6813768659
143	0.6813640406
144	0.6813492336
145	0.6813313171
146	0.6813176651
147	0.681302837
148	0.6812880163
149	0.6812665143
150	0.6812545872
151	0.6812371701
152	0.6812197546
153	0.6812092497
154	0.6811890934
155	0.6811757276
156	0.6811586774
157	0.6811434408
158	0.6811301576
159	0.6811186139
160	0.6811039644
161	0.6810926416
162	0.6810796656
163	0.6810652838
164	0.68105293
165	0.681036264
166	0.6810203727
167	0.6810075568
168	0.680994911
169	0.6809830363
170	0.6809726917
171	0.6809601966
172	0.6809411906
173	0.6809328061
174	0.6809237784
175	0.6809060964
176	0.6808926739
177	0.6808789688
178	0.6808671572
179	0.6808585667
180	0.6808464346
181	0.6808315118
182	0.6808183309
183	0.6808046922
184	0.6807941613
185	0.6807868158
186	0.6807745864
187	0.6807586671
188	0.680743643
189	0.6807304976
190	0.6807177244
191	0.6807068912
192	0.6806917861
193	0.6806773849
194	0.6806647992
195	0.6806519042
196	0.6806371008
197	0.680620405
198	0.6806046569
199	0.6805940556
200	0.6805699479
201	0.6805552804
202	0.6805446695
203	0.6805323982
204	0.680519715
205	0.680508161
206	0.680499401
207	0.6804889401
208	0.6804769596
209	0.6804653555
210	0.6804517043
211	0.6804386479
212	0.6804233282
213	0.6804122999
214	0.6803976311
215	0.6803800823
216	0.6803691335
217	0.6803579002
218	0.6803458764
219	0.680334367
220	0.6803154171
221	0.6803038192
222	0.6802886386
223	0.6802754581
224	0.6802639574
225	0.6802497353
226	0.6802376126
227	0.6802270809
228	0.6802114091
229	0.6802014571
230	0.6801879739
231	0.6801728422
232	0.6801619282
233	0.6801491916
234	0.6801357886
235	0.6801209354
236	0.6801124312
237	0.6800971529
238	0.6800831964
239	0.6800679587
240	0.6800535962
241	0.6800438843
242	0.6800333265
243	0.6800201007
244	0.6800115178
245	0.6799984853
246	0.6799875529
247	0.6799707873
248	0.6799585752
249	0.6799494408
250	0.679938945
251	0.6799293768
252	0.6799168888
253	0.6799033601
254	0.6798931326
255	0.6798785155
256	0.6798662825
257	0.6798542859
258	0.6798441096
259	0.6798321819
260	0.6798217578
261	0.6798079539
262	0.6797957964
263	0.6797862167
264	0.6797782384
265	0.6797662045
266	0.6797565361
267	0.6797467448
268	0.6797338819
269	0.6797166453
270	0.6797038323
271	0.6796980159
272	0.6796859634
273	0.6796724797
274	0.6796599118
275	0.679647887
276	0.6796341978
277	0.679619398
278	0.6796091973
279	0.6796004629
280	0.679584426
281	0.6795715376
282	0.67955865
283	0.6795466426
284	0.6795357451
285	0.6795279285
286	0.6795169353
287	0.6795075437
288	0.6794938374
289	0.679481581
290	0.6794713778
291	0.6794628492
292	0.6794486891
293	0.6794381134
294	0.6794271743
295	0.679414785
296	0.6794027066
297	0.6793905034
298	0.6793773582
299	0.6793654569
300	0.6793512264
301	0.679340251
302	0.6793296737
303	0.6793188764
304	0.6793054097
305	0.6792922726
306	0.6792814123
307	0.6792672335
308	0.6792568453
309	0.6792437169
310	0.6792322944
311	0.679219844
312	0.6792062617
313	0.6791929024
314	0.6791826209
315	0.6791706324
316	0.6791583049
317	0.6791466295
318	0.6791347099
319	0.6791228712
320	0.679116114
321	0.679102702
322	0.6790927865
323	0.6790859712
324	0.6790774248
325	0.6790640123
326	0.679051747
327	0.6790406743
