iter	Passed	Remaining
0	262	261879
1	366	182981
2	482	160305
3	592	147530
4	706	140595
5	843	139660
6	991	140669
7	1134	140671
8	1243	136908
9	1358	134498
10	1455	130877
11	1587	130663
12	1700	129097
13	1821	128298
14	1947	127867
15	2056	126469
16	2188	126539
17	2295	125247
18	2404	124135
19	2554	125160
20	2672	124584
21	2808	124852
22	2949	125274
23	3075	125055
24	3199	124790
25	3331	124791
26	3454	124507
27	3573	124065
28	3664	122689
29	3778	122166
30	3906	122103
31	4016	121513
32	4166	122079
33	4284	121728
34	4409	121587
35	4526	121199
36	4640	120768
37	4758	120464
38	4880	120266
39	4997	119945
40	5129	119985
41	5248	119719
42	5379	119736
43	5520	119936
44	5633	119555
45	5756	119375
46	5873	119086
47	5997	118956
48	6121	118803
49	6253	118812
50	6370	118548
51	6480	118139
52	6573	117449
53	6696	117305
54	6810	117009
55	6934	116887
56	7040	116474
57	7177	116576
58	7296	116379
59	7403	115992
60	7519	115753
61	7623	115334
62	7757	115378
63	7855	114882
64	7977	114749
65	8099	114617
66	8212	114363
67	8327	114130
68	8457	114121
69	8576	113942
70	8702	113869
71	8824	113742
72	8938	113505
73	9060	113373
74	9165	113038
75	9280	112832
76	9401	112696
77	9515	112478
78	9633	112312
79	9761	112257
80	9880	112101
81	10020	112182
82	10136	111986
83	10255	111828
84	10384	111790
85	10497	111565
86	10620	111455
87	10746	111372
88	10866	111232
89	10983	111056
90	11111	110993
91	11221	110752
92	11321	110415
93	11483	110677
94	11605	110557
95	11760	110742
96	11919	110961
97	12055	110962
98	12175	110810
99	12308	110776
100	12461	110915
101	12612	111036
102	12724	110817
103	12877	110942
104	13033	111094
105	13196	111299
106	13347	111397
107	13466	111226
108	13603	111199
109	13739	111164
110	13892	111263
111	14039	111310
112	14176	111275
113	14323	111324
114	14452	111220
115	14593	111210
116	14727	111150
117	14859	111070
118	14995	111020
119	15117	110863
120	15277	110985
121	15432	111063
122	15581	111100
123	15726	111101
124	15859	111016
125	15983	110872
126	16110	110744
127	16257	110753
128	16406	110779
129	16542	110708
130	16699	110775
131	16865	110900
132	16983	110709
133	17117	110622
134	17235	110432
135	17359	110286
136	17502	110250
137	17631	110133
138	17787	110179
139	17931	110148
140	18097	110256
141	18243	110230
142	18375	110121
143	18495	109942
144	18619	109790
145	18758	109726
146	18896	109652
147	19048	109658
148	19197	109643
149	19338	109584
150	19483	109544
151	19623	109476
152	19767	109433
153	19908	109368
154	20055	109336
155	20187	109217
156	20321	109116
157	20423	108837
158	20553	108713
159	20695	108651
160	20844	108625
161	20965	108450
162	21083	108261
163	21246	108304
164	21404	108319
165	21539	108216
166	21664	108060
167	21791	107920
168	21932	107844
169	22077	107790
170	22203	107641
171	22325	107475
172	22476	107446
173	22618	107370
174	22754	107272
