,mean
RSI,0.4975580310767444
STOCASTIC_K,0.4735753491483804
STOCASTIC_D,0.4736054803909858
Bollinger,0.49797298336086177
MACD,-3.8537498508080668
MACD_SIGNAL,-2.2603225534977605
MACD_cat,0.017184063244274635
Change+,0.44659381218891314
RSI_delta,-1.3263696808893641e-05
D_delta,-2.455820223766623e-05
sto_diff,-3.013124262361682e-05
B_delta,-1.587358417376726e-05
MACD_delta,-0.33703235985023733
MA5,38794.17553963294
MA20,38803.05626730544
MA5_adj,0.0008116877556647303
MA20_adj,0.0035333721164695644
MA_diff,-0.0027216843608046876
