,Hotel_Name,room,clean,staff,service,design,location,breakfast
0,1K Hotel,62,0,0,0,0,0,0
1,1K Hotel,0,5,0,0,0,0,0
2,1K Hotel,0,0,33,0,0,0,0
3,1K Hotel,0,0,0,5,0,0,0
4,1K Hotel,0,0,0,0,7,0,0
5,1K Hotel,0,0,0,0,0,34,0
6,1K Hotel,0,0,0,0,0,0,8
7,9Hotel Republique,55,0,0,0,0,0,0
8,9Hotel Republique,0,8,0,0,0,0,0
9,9Hotel Republique,0,0,67,0,0,0,0
10,9Hotel Republique,0,0,0,7,0,0,0
11,9Hotel Republique,0,0,0,0,14,0,0
12,9Hotel Republique,0,0,0,0,0,36,0
13,9Hotel Republique,0,0,0,0,0,0,25
14,A La Villa Madame,9,0,0,0,0,0,0
15,A La Villa Madame,0,1,0,0,0,0,0
16,A La Villa Madame,0,0,11,0,0,0,0
17,A La Villa Madame,0,0,0,3,0,0,0
18,A La Villa Madame,0,0,0,0,2,0,0
19,A La Villa Madame,0,0,0,0,0,10,0
20,A La Villa Madame,0,0,0,0,0,0,9
21,AC Hotel Paris Porte Maillot by Marriott,16,0,0,0,0,0,0
22,AC Hotel Paris Porte Maillot by Marriott,0,3,0,0,0,0,0
23,AC Hotel Paris Porte Maillot by Marriott,0,0,26,0,0,0,0
24,AC Hotel Paris Porte Maillot by Marriott,0,0,0,1,0,0,0
25,AC Hotel Paris Porte Maillot by Marriott,0,0,0,0,0,16,0
26,AC Hotel Paris Porte Maillot by Marriott,0,0,0,0,0,0,7
27,Acad mie H tel Saint Germain,84,0,0,0,0,0,0
28,Acad mie H tel Saint Germain,0,6,0,0,0,0,0
29,Acad mie H tel Saint Germain,0,0,112,0,0,0,0
30,Acad mie H tel Saint Germain,0,0,0,7,0,0,0
31,Acad mie H tel Saint Germain,0,0,0,0,0,95,0
32,Acad mie H tel Saint Germain,0,0,0,0,0,0,15
33,Amarante Beau Manoir,31,0,0,0,0,0,0
34,Amarante Beau Manoir,0,1,0,0,0,0,0
35,Amarante Beau Manoir,0,0,47,0,0,0,0
36,Amarante Beau Manoir,0,0,0,3,0,0,0
37,Amarante Beau Manoir,0,0,0,0,0,50,0
38,Amarante Beau Manoir,0,0,0,0,0,0,9
39,Amarante Champs Elys es,11,0,0,0,0,0,0
40,Amarante Champs Elys es,0,1,0,0,0,0,0
41,Amarante Champs Elys es,0,0,28,0,0,0,0
42,Amarante Champs Elys es,0,0,0,0,0,38,0
43,Amarante Champs Elys es,0,0,0,0,0,0,2
44,Amp re,56,0,0,0,0,0,0
45,Amp re,0,4,0,0,0,0,0
46,Amp re,0,0,49,0,0,0,0
47,Amp re,0,0,0,1,0,0,0
48,Amp re,0,0,0,0,1,0,0
49,Amp re,0,0,0,0,0,45,0
50,Amp re,0,0,0,0,0,0,15
51,Arioso,9,0,0,0,0,0,0
52,Arioso,0,2,0,0,0,0,0
53,Arioso,0,0,12,0,0,0,0
54,Arioso,0,0,0,0,0,11,0
55,Arioso,0,0,0,0,0,0,5
56,Artus Hotel by MH,16,0,0,0,0,0,0
57,Artus Hotel by MH,0,1,0,0,0,0,0
58,Artus Hotel by MH,0,0,19,0,0,0,0
59,Artus Hotel by MH,0,0,0,1,0,0,0
60,Artus Hotel by MH,0,0,0,0,1,0,0
61,Artus Hotel by MH,0,0,0,0,0,25,0
62,Artus Hotel by MH,0,0,0,0,0,0,3
63,Atala Champs Elys es,8,0,0,0,0,0,0
64,Atala Champs Elys es,0,1,0,0,0,0,0
65,Atala Champs Elys es,0,0,10,0,0,0,0
66,Atala Champs Elys es,0,0,0,1,0,0,0
67,Atala Champs Elys es,0,0,0,0,0,9,0
68,Atala Champs Elys es,0,0,0,0,0,0,1
69,Au Manoir Saint Germain,50,0,0,0,0,0,0
70,Au Manoir Saint Germain,0,2,0,0,0,0,0
71,Au Manoir Saint Germain,0,0,56,0,0,0,0
72,Au Manoir Saint Germain,0,0,0,5,0,0,0
73,Au Manoir Saint Germain,0,0,0,0,0,78,0
74,Au Manoir Saint Germain,0,0,0,0,0,0,9
75,Auteuil Tour Eiffel,45,0,0,0,0,0,0
76,Auteuil Tour Eiffel,0,5,0,0,0,0,0
77,Auteuil Tour Eiffel,0,0,39,0,0,0,0
78,Auteuil Tour Eiffel,0,0,0,5,0,0,0
79,Auteuil Tour Eiffel,0,0,0,0,0,48,0
80,Auteuil Tour Eiffel,0,0,0,0,0,0,14
81,B Montmartre,37,0,0,0,0,0,0
82,B Montmartre,0,1,0,0,0,0,0
83,B Montmartre,0,0,51,0,0,0,0
84,B Montmartre,0,0,0,7,0,0,0
85,B Montmartre,0,0,0,0,0,23,0
86,B Montmartre,0,0,0,0,0,0,15
87,Balmoral Champs Elys es,37,0,0,0,0,0,0
88,Balmoral Champs Elys es,0,3,0,0,0,0,0
89,Balmoral Champs Elys es,0,0,53,0,0,0,0
90,Balmoral Champs Elys es,0,0,0,6,0,0,0
91,Balmoral Champs Elys es,0,0,0,0,1,0,0
92,Balmoral Champs Elys es,0,0,0,0,0,41,0
93,Balmoral Champs Elys es,0,0,0,0,0,0,12
94,Banke H tel,40,0,0,0,0,0,0
95,Banke H tel,0,1,0,0,0,0,0
96,Banke H tel,0,0,60,0,0,0,0
97,Banke H tel,0,0,0,13,0,0,0
98,Banke H tel,0,0,0,0,4,0,0
99,Banke H tel,0,0,0,0,0,40,0
100,Banke H tel,0,0,0,0,0,0,7
101,Bassano,28,0,0,0,0,0,0
