,Pclass,Sex,Age,Fare,Cabin,Embarked,solo
0,3,1,22.0,3.625,0,1,0
1,1,2,38.0,35.64165,1,0,0
2,3,2,26.0,7.925,0,1,1
3,1,2,35.0,26.55,1,1,0
4,3,1,35.0,8.05,0,1,1
5,3,1,35.01963900020237,8.4583,0,2,1
6,1,1,54.0,51.8625,1,1,1
7,3,1,2.0,4.215,0,1,0
8,3,2,27.0,3.7111,0,1,0
9,2,2,14.0,15.0354,0,0,0
10,3,2,4.0,5.566666666666666,1,1,0
11,1,2,58.0,26.55,1,1,1
12,3,1,20.0,8.05,0,1,1
13,3,1,39.0,4.4678571428571425,0,1,0
14,3,2,14.0,7.8542,0,1,1
15,2,2,55.0,16.0,0,1,1
16,3,1,2.0,4.854166666666667,0,2,0
17,2,1,32.590212823058025,13.0,0,1,1
18,3,2,31.0,9.0,0,1,0
19,3,2,17.651237825264214,7.225,0,0,1
20,2,1,35.0,26.0,0,1,1
21,2,1,34.0,13.0,1,1,1
22,3,2,15.0,8.0292,0,2,1
23,1,1,28.0,35.5,1,1,1
24,3,2,8.0,4.215,0,1,0
25,3,2,38.0,4.483928571428572,0,1,0
26,3,1,30.780432310819524,7.225,0,0,1
27,1,1,19.0,43.833333333333336,1,1,0
28,3,2,19.504680680268745,7.8792,0,2,1
29,3,1,27.643628382849226,7.8958,0,1,1
30,1,1,40.0,27.7208,0,0,1
31,1,2,19.68298034574137,73.2604,1,0,0
32,3,2,22.92905515581749,7.75,0,2,1
33,2,1,66.0,10.5,0,1,1
34,1,1,28.0,41.0854,0,0,0
35,1,1,42.0,26.0,0,1,0
36,3,1,25.55693765538601,7.2292,0,0,1
37,3,1,21.0,8.05,0,1,1
38,3,2,18.0,6.0,0,1,0
39,3,2,14.0,5.62085,0,0,0
40,3,2,40.0,4.7375,0,1,0
41,2,2,27.0,10.5,0,1,0
42,3,1,31.49489746821873,7.8958,0,0,1
43,2,2,3.0,10.3948,0,0,0
44,3,2,19.0,7.8792,0,2,1
45,3,1,30.39665896059371,8.05,0,1,1
46,3,1,40.55806200994425,7.75,0,2,0
47,3,2,22.92905515581749,7.75,0,2,1
48,3,1,26.918359741149345,7.226400000000001,0,0,0
49,3,2,18.0,8.9,0,1,0
50,3,1,7.0,6.614583333333333,0,1,0
51,3,1,21.0,7.8,0,1,1
52,1,2,49.0,38.3646,1,0,0
53,2,2,29.0,13.0,0,1,0
54,1,1,65.0,30.9896,1,0,0
55,1,1,39.21978439250116,35.5,1,1,1
56,2,2,21.0,10.5,0,1,1
57,3,1,28.5,7.2292,0,0,1
58,2,2,5.0,6.9375,0,1,0
59,3,1,11.0,5.8625,0,1,0
60,3,1,22.0,7.2292,0,0,1
61,1,2,38.0,80.0,1,1,1
62,1,1,45.0,41.7375,1,1,0
63,3,1,4.0,4.6499999999999995,0,1,0
64,1,1,41.42215592438773,27.7208,0,0,1
65,3,1,12.230743202362165,5.081933333333333,0,0,0
66,2,2,29.0,10.5,1,1,1
67,3,1,19.0,8.1583,0,1,1
68,3,2,17.0,1.1321428571428571,0,1,0
69,3,1,26.0,2.8874999999999997,0,1,0
70,2,1,32.0,10.5,0,1,1
71,3,2,16.0,5.8625,0,1,0
72,2,1,21.0,73.5,0,1,1
73,3,1,26.0,7.2271,0,0,0
74,3,1,32.0,56.4958,0,1,1
75,3,1,25.0,7.65,1,1,1
76,3,1,27.643628382849226,7.8958,0,1,1
77,3,1,30.39665896059371,8.05,0,1,1
78,2,1,0.83,9.666666666666666,0,1,0
79,3,2,30.0,12.475,0,1,1
80,3,1,22.0,9.0,0,1,1
81,3,1,29.0,9.5,0,1,1
82,3,2,16.188514474392456,7.7875,0,2,1
83,1,1,28.0,47.1,0,1,1
84,2,2,17.0,10.5,0,1,1
85,3,2,33.0,3.9625,0,1,0
86,3,1,16.0,6.875,0,1,0
87,3,1,30.39665896059371,8.05,0,1,1
88,1,2,23.0,43.833333333333336,1,1,0
89,3,1,24.0,8.05,0,1,1
90,3,1,29.0,8.05,0,1,1
91,3,1,20.0,7.8542,0,1,1
92,1,1,46.0,30.5875,1,1,0
93,3,1,26.0,5.14375,0,1,0
94,3,1,59.0,7.25,0,1,1
95,3,1,30.39665896059371,8.05,0,1,1
96,1,1,71.0,34.6542,1,0,1
97,1,1,23.0,31.67915,1,0,0
98,2,2,34.0,11.5,0,1,0
99,2,1,34.0,13.0,0,1,0
100,3,2,28.0,7.8958,0,1,1
101,3,1,27.643628382849226,7.8958,0,1,1
102,1,1,21.0,38.64375,1,1,0
103,3,1,33.0,8.6542,0,1,1
104,3,1,37.0,2.6416666666666666,0,1,0
105,3,1,28.0,7.8958,0,1,1
106,3,2,21.0,7.65,0,1,1
107,3,1,29.36937576847115,7.775,0,1,1
108,3,1,38.0,7.8958,0,1,1
109,3,2,18.400638412054697,12.075,0,2,0
110,1,1,47.0,52.0,1,1,1
111,3,2,14.5,7.2271,0,0,0
112,3,1,22.0,8.05,0,1,1
113,3,2,20.0,4.9125,0,1,0
114,3,2,17.0,14.4583,0,0,1
115,3,1,21.0,7.925,0,1,1
116,3,1,70.5,7.75,0,2,1
117,2,1,29.0,10.5,0,1,0
118,1,1,24.0,123.7604,1,0,0
119,3,2,2.0,4.4678571428571425,0,1,0
120,2,1,21.0,24.5,0,1,0
121,3,1,30.39665896059371,8.05,0,1,1
122,2,1,32.5,15.0354,0,0,0
123,2,2,32.5,13.0,1,1,1
124,1,1,54.0,38.64375,1,1,0
125,3,1,12.0,5.62085,0,0,0
126,3,1,44.13763117073652,7.75,0,2,1
127,3,1,24.0,7.1417,0,1,1
128,3,2,-6.864853139522502,7.452766666666666,1,0,0
129,3,1,45.0,6.975,0,1,1
130,3,1,33.0,7.8958,0,0,1
131,3,1,20.0,7.05,0,1,1
132,3,2,47.0,7.25,0,1,0
133,2,2,29.0,13.0,0,1,0
134,2,1,25.0,13.0,0,1,1
135,2,1,23.0,15.0458,0,0,1
136,1,2,19.0,8.7611,1,1,0
137,1,1,37.0,26.55,1,1,0
138,3,1,16.0,9.2167,0,1,1
139,1,1,24.0,79.2,1,0,1
140,3,2,26.45333252979493,5.081933333333333,0,0,0
141,3,2,22.0,7.75,0,1,1
142,3,2,24.0,7.925,0,1,0
