,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,work_phone,phone,email,occyp_type,family_size,begin_month,credit,Age,worked_year
0,0,0,0,0,202500.0,3,1,0,2,0,0,0,0,2,-6,1,38,13
1,0,0,1,1,247500.0,3,0,2,0,0,0,1,0,3,-5,1,31,4
2,1,1,1,0,450000.0,4,1,0,0,0,1,0,3,2,-22,2,52,12
3,0,0,1,0,202500.0,3,0,0,0,0,1,0,2,2,-37,0,41,6
4,0,1,1,0,157500.0,1,1,0,0,0,0,0,3,2,-26,2,41,6
5,0,0,1,2,270000.0,4,0,0,0,0,0,1,5,4,-18,1,37,14
6,0,0,0,0,315000.0,4,0,3,0,0,0,1,1,1,-41,2,48,5
7,1,0,1,0,270000.0,3,0,0,0,0,0,1,4,2,-53,0,41,15
8,1,1,1,1,180000.0,3,1,0,0,0,0,1,3,3,-38,2,41,4
9,0,0,1,0,103500.0,4,0,0,0,0,0,0,7,2,-5,2,43,4
10,0,0,1,0,193500.0,4,0,3,0,1,1,1,0,1,-40,2,52,6
11,1,1,1,1,135000.0,3,1,0,0,0,0,0,3,3,-51,2,32,0
12,0,1,1,1,157500.0,3,0,0,0,0,0,0,6,3,-60,0,33,6
13,0,0,0,0,135000.0,4,1,0,0,0,1,0,2,2,-41,2,27,7
14,0,0,1,0,157500.0,2,0,1,0,0,1,0,18,1,-41,2,63,999
15,1,1,1,2,157500.0,4,0,0,1,0,1,0,4,4,-60,0,35,11
16,1,0,1,0,180000.0,4,0,0,0,0,1,0,0,2,-2,1,53,12
17,1,0,0,0,270000.0,3,0,2,1,0,0,1,2,2,-14,2,24,3
18,0,0,1,0,216000.0,2,0,0,0,0,0,0,18,2,-37,2,63,999
19,0,0,1,0,180000.0,4,0,0,0,0,0,0,0,2,-7,2,38,17
20,1,0,0,0,180000.0,4,0,0,0,0,1,0,0,2,-35,2,54,5
21,0,0,0,0,157500.0,2,0,0,0,0,1,0,18,2,-7,2,58,999
22,0,0,0,0,157500.0,3,0,2,0,0,0,0,0,2,-22,0,42,4
23,1,1,0,0,225000.0,4,0,0,2,1,1,1,4,2,-18,2,40,1
24,0,0,0,0,202500.0,2,0,1,0,0,1,0,18,1,-5,2,61,999
25,0,0,1,1,225000.0,3,0,0,0,0,0,0,15,3,-4,2,38,10
26,1,1,0,1,135000.0,4,1,0,0,1,0,0,0,3,-13,2,49,9
27,1,1,1,0,405000.0,1,0,0,0,0,0,0,3,2,-57,2,47,10
28,1,1,0,0,112500.0,3,0,0,1,1,1,0,4,2,-47,2,60,6
29,0,0,1,0,121500.0,3,0,0,5,0,1,0,2,2,-22,0,33,5
30,1,1,0,0,225000.0,3,0,0,0,0,0,0,3,2,-33,2,36,1
31,1,1,1,0,135000.0,3,1,0,0,1,0,1,0,2,-18,0,32,9
32,0,0,1,0,135000.0,4,1,0,0,0,0,0,0,2,-2,0,36,4
33,1,0,1,0,202500.0,4,0,0,0,0,1,0,5,2,-30,2,53,1
34,1,1,1,1,270000.0,4,0,0,0,0,1,0,0,3,-22,0,40,4
35,0,1,0,0,225000.0,4,1,2,0,0,0,0,3,2,-20,2,40,7
36,0,1,0,0,225000.0,4,1,1,0,1,1,0,6,1,-14,2,55,3
37,1,1,1,0,585000.0,3,0,0,1,0,0,0,4,2,-8,2,46,5
38,0,0,1,0,202500.0,4,0,0,0,0,0,0,2,2,-41,2,37,9
39,1,1,1,2,112500.0,4,0,0,0,0,0,0,0,4,-39,2,36,4
40,1,1,1,0,90900.0,4,0,0,0,0,0,0,0,2,-21,1,59,7
41,0,0,1,2,99000.0,3,1,0,0,0,1,0,6,4,-19,2,35,1
42,1,0,0,1,270000.0,4,0,0,0,1,0,0,3,3,-35,0,27,2
43,0,0,0,0,67500.0,4,0,0,0,0,0,0,2,2,-8,1,27,5
44,1,0,0,0,247500.0,4,1,2,0,0,0,0,4,2,-26,2,41,1
45,1,1,0,0,405000.0,4,1,0,0,1,1,0,5,2,-4,0,51,9
46,0,0,0,0,135000.0,2,0,4,0,0,1,0,18,1,-24,2,58,999
47,0,1,1,0,292500.0,3,1,0,0,0,0,0,2,2,-48,2,50,10
48,0,0,1,0,99000.0,2,0,0,0,0,0,0,18,2,-4,2,65,999
49,0,0,1,0,585000.0,3,0,0,0,0,1,0,2,2,-12,2,52,5
50,0,1,0,1,90000.0,4,0,0,0,1,0,0,2,3,-4,2,38,3
